,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
57,23,2018-02-02,,Rhode Island,L,68.0,81.0,24.0,58.0,0.414,8.0,24.0,0.33299999999999996,12.0,14.0,0.857,5.0,25.0,14.0,5.0,5.0,14.0,17.0,,30.0,71.0,0.423,7.0,21.0,0.33299999999999996,14.0,18.0,0.778,17.0,44.0,17.0,10.0,2.0,8.0,14.0,Virginia Commonwealth
58,24,2018-02-07,@,Richmond,L,76.0,77.0,30.0,58.0,0.517,6.0,21.0,0.28600000000000003,10.0,18.0,0.556,7.0,33.0,17.0,7.0,5.0,17.0,19.0,,28.0,59.0,0.475,3.0,14.0,0.214,18.0,23.0,0.7829999999999999,6.0,30.0,9.0,12.0,1.0,12.0,17.0,Virginia Commonwealth
59,25,2018-02-10,,Dayton,W (1 OT),88.0,84.0,36.0,67.0,0.537,8.0,19.0,0.42100000000000004,8.0,17.0,0.47100000000000003,7.0,34.0,20.0,9.0,5.0,15.0,11.0,,31.0,70.0,0.44299999999999995,14.0,35.0,0.4,8.0,10.0,0.8,9.0,35.0,16.0,3.0,1.0,19.0,16.0,Virginia Commonwealth
60,26,2018-02-14,,Davidson,L,63.0,74.0,23.0,55.0,0.418,10.0,28.0,0.35700000000000004,7.0,11.0,0.636,4.0,25.0,13.0,4.0,1.0,10.0,16.0,,25.0,54.0,0.46299999999999997,10.0,26.0,0.385,14.0,15.0,0.9329999999999999,3.0,29.0,17.0,4.0,0.0,7.0,10.0,Virginia Commonwealth
61,27,2018-02-17,@,George Washington,L,56.0,80.0,22.0,59.0,0.373,6.0,23.0,0.261,6.0,13.0,0.462,10.0,29.0,12.0,6.0,4.0,17.0,13.0,,30.0,57.0,0.526,6.0,11.0,0.545,14.0,18.0,0.778,9.0,35.0,13.0,12.0,7.0,12.0,15.0,Virginia Commonwealth
62,28,2018-02-21,@,UMass,W,82.0,78.0,32.0,59.0,0.542,9.0,22.0,0.409,9.0,13.0,0.6920000000000001,5.0,34.0,22.0,5.0,3.0,16.0,16.0,,27.0,65.0,0.415,13.0,32.0,0.406,11.0,13.0,0.846,7.0,29.0,18.0,5.0,1.0,10.0,14.0,Virginia Commonwealth
63,29,2018-02-24,,St. Bonaventure,L,63.0,68.0,25.0,62.0,0.40299999999999997,9.0,33.0,0.273,4.0,9.0,0.444,12.0,34.0,15.0,7.0,2.0,17.0,18.0,,23.0,55.0,0.418,7.0,18.0,0.389,15.0,20.0,0.75,8.0,35.0,14.0,9.0,0.0,16.0,17.0,Virginia Commonwealth
64,30,2018-02-28,,George Mason,L,80.0,81.0,28.0,65.0,0.431,13.0,33.0,0.39399999999999996,11.0,18.0,0.611,8.0,35.0,16.0,7.0,2.0,10.0,14.0,,29.0,64.0,0.45299999999999996,11.0,26.0,0.423,12.0,16.0,0.75,7.0,36.0,12.0,7.0,1.0,10.0,16.0,Virginia Commonwealth
65,31,2018-03-03,@,Fordham,W,83.0,58.0,31.0,54.0,0.574,12.0,22.0,0.545,9.0,14.0,0.643,6.0,32.0,20.0,2.0,3.0,10.0,14.0,,20.0,51.0,0.392,4.0,21.0,0.19,14.0,18.0,0.778,3.0,21.0,10.0,7.0,2.0,7.0,17.0,Virginia Commonwealth
66,32,2018-03-08,N,Dayton,W,77.0,72.0,28.0,57.0,0.491,8.0,27.0,0.29600000000000004,13.0,21.0,0.619,5.0,28.0,17.0,5.0,4.0,7.0,18.0,,27.0,63.0,0.429,5.0,21.0,0.23800000000000002,13.0,16.0,0.813,10.0,37.0,11.0,2.0,2.0,8.0,20.0,Virginia Commonwealth
67,33,2018-03-09,N,Rhode Island,L,67.0,76.0,24.0,61.0,0.39299999999999996,7.0,21.0,0.33299999999999996,12.0,19.0,0.632,8.0,39.0,13.0,7.0,4.0,13.0,20.0,,27.0,62.0,0.435,11.0,22.0,0.5,11.0,19.0,0.579,7.0,37.0,16.0,7.0,2.0,11.0,17.0,Virginia Commonwealth
68,"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">CBB at Sports Reference</a>: <a href=""https://www.sports-reference.com/cbb/schools/virginia-commonwealth/2018-gamelogs.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#sgl-basic"">View Original Table</a><br>Generated 3/13/2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Commonwealth
69,1,2017-11-10,@,North Carolina State,L,67.0,102.0,18.0,50.0,0.36,4.0,20.0,0.2,27.0,35.0,0.7709999999999999,5.0,25.0,9.0,6.0,2.0,19.0,25.0,,37.0,73.0,0.507,6.0,18.0,0.33299999999999996,22.0,30.0,0.733,14.0,37.0,18.0,10.0,6.0,9.0,23.0,VMI
70,2,2017-11-14,@,Duquesne,L,61.0,77.0,24.0,50.0,0.48,8.0,16.0,0.5,5.0,13.0,0.385,12.0,34.0,16.0,3.0,2.0,24.0,23.0,,24.0,59.0,0.40700000000000003,8.0,23.0,0.348,21.0,27.0,0.778,11.0,30.0,10.0,12.0,3.0,9.0,17.0,VMI
71,3,2017-11-18,,Presbyterian,W,78.0,58.0,28.0,53.0,0.528,9.0,22.0,0.409,13.0,15.0,0.867,7.0,35.0,20.0,10.0,1.0,16.0,13.0,,23.0,57.0,0.40399999999999997,6.0,19.0,0.316,6.0,8.0,0.75,7.0,24.0,6.0,6.0,1.0,15.0,15.0,VMI
