,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
54,19,2018-01-13,,Texas State,L,70.0,72.0,26.0,45.0,0.578,5.0,12.0,0.41700000000000004,13.0,17.0,0.765,7.0,25.0,13.0,4.0,4.0,13.0,14.0,,29.0,61.0,0.475,9.0,20.0,0.45,5.0,9.0,0.556,12.0,25.0,18.0,3.0,2.0,8.0,15.0,Arkansas-Little Rock
55,20,2018-01-20,,Arkansas State,L,62.0,70.0,24.0,55.0,0.436,5.0,17.0,0.294,9.0,15.0,0.6,8.0,28.0,13.0,4.0,3.0,12.0,20.0,,24.0,47.0,0.511,13.0,23.0,0.565,9.0,20.0,0.45,8.0,32.0,12.0,3.0,2.0,11.0,12.0,Arkansas-Little Rock
56,21,2018-01-25,@,Appalachian State,L (1 OT),67.0,72.0,23.0,65.0,0.354,8.0,23.0,0.348,13.0,20.0,0.65,7.0,37.0,6.0,3.0,7.0,9.0,22.0,,23.0,70.0,0.32899999999999996,7.0,29.0,0.24100000000000002,19.0,26.0,0.731,13.0,45.0,13.0,1.0,7.0,7.0,16.0,Arkansas-Little Rock
57,22,2018-01-27,@,Coastal Carolina,L,62.0,72.0,21.0,55.0,0.382,12.0,30.0,0.4,8.0,15.0,0.5329999999999999,6.0,27.0,13.0,3.0,3.0,9.0,23.0,,24.0,48.0,0.5,6.0,9.0,0.667,18.0,29.0,0.621,5.0,32.0,18.0,6.0,1.0,11.0,13.0,Arkansas-Little Rock
58,23,2018-02-01,,Georgia Southern,L,61.0,67.0,24.0,50.0,0.48,5.0,14.0,0.35700000000000004,8.0,19.0,0.42100000000000004,11.0,31.0,14.0,2.0,3.0,16.0,20.0,,20.0,46.0,0.435,4.0,19.0,0.21100000000000002,23.0,29.0,0.7929999999999999,5.0,24.0,5.0,6.0,3.0,9.0,18.0,Arkansas-Little Rock
59,24,2018-02-03,,Georgia State,L,51.0,81.0,18.0,49.0,0.36700000000000005,8.0,20.0,0.4,7.0,18.0,0.389,6.0,24.0,10.0,4.0,3.0,17.0,14.0,,27.0,51.0,0.529,15.0,28.0,0.536,12.0,19.0,0.632,7.0,34.0,20.0,3.0,5.0,17.0,15.0,Arkansas-Little Rock
60,25,2018-02-08,@,South Alabama,L,56.0,73.0,21.0,50.0,0.42,3.0,14.0,0.214,11.0,21.0,0.524,5.0,25.0,7.0,6.0,1.0,11.0,17.0,,28.0,55.0,0.509,7.0,22.0,0.318,10.0,15.0,0.667,6.0,34.0,14.0,2.0,1.0,12.0,19.0,Arkansas-Little Rock
61,26,2018-02-10,@,Troy,L,64.0,82.0,22.0,54.0,0.40700000000000003,3.0,20.0,0.15,17.0,23.0,0.7390000000000001,5.0,23.0,6.0,7.0,2.0,9.0,13.0,,33.0,64.0,0.516,8.0,20.0,0.4,8.0,11.0,0.727,13.0,37.0,14.0,4.0,5.0,10.0,17.0,Arkansas-Little Rock
62,27,2018-02-17,@,Arkansas State,W,82.0,78.0,27.0,49.0,0.551,9.0,19.0,0.474,19.0,24.0,0.792,5.0,33.0,12.0,3.0,5.0,14.0,19.0,,28.0,56.0,0.5,11.0,23.0,0.478,11.0,20.0,0.55,3.0,20.0,13.0,8.0,1.0,8.0,19.0,Arkansas-Little Rock
63,28,2018-02-22,,Coastal Carolina,L,60.0,65.0,21.0,52.0,0.40399999999999997,7.0,17.0,0.41200000000000003,11.0,22.0,0.5,8.0,31.0,12.0,6.0,1.0,10.0,26.0,,17.0,51.0,0.33299999999999996,8.0,24.0,0.33299999999999996,23.0,34.0,0.6759999999999999,14.0,38.0,10.0,3.0,5.0,8.0,17.0,Arkansas-Little Rock
